		next (Reference Fit)	next (Reference Fit)
		Min	Max
$\Sigma$	$\alpha$	1.1172727673264067	1.1461319832987953
$\Sigma$	$\beta$	1.4487232797259968	3.3517238500744684
$V$	$\alpha$	0.49120035139265794	0.7970866410611774
$V$	$\beta$	1.561210375422448	3.4433449093100212
$T3$	$\alpha$	-0.6285075107481023	1.0499899761378886
$T3$	$\beta$	1.6864171223042537	3.729021411691997
$V3$	$\alpha$	0.200000578834376	0.4254983703751036
$V3$	$\beta$	1.6879135495731348	3.388485196378916
$T8$	$\alpha$	0.6772571836187842	0.8987885771110549
$T8$	$\beta$	1.534569580764628	3.34288080356362
$V8$	$\alpha$	0.5642784046896397	0.7936306104607965
$V8$	$\beta$	1.5479999030323037	3.3842092304527154
$T15$	$\alpha$	1.120019750332916	1.162075646136933
$T15$	$\beta$	1.536303978678042	3.753940533350726
$g$	$\alpha$	0.8903983971187617	1.1825841459826125
$g$	$\beta$	2.842310505267308	5.598386378140815
