#: table_doi: 10.17182/hepdata.6191.v1/t22
#: name: Table 22
#: description: R=SIG(L)/SIG(T) is taken to be R(QCD).

#: data_file: Table22.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.65
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
17.0,0.02809,0.00152,-0.00152,0.0032,-0.0032,3.0%,-3.0%
19.0,0.02872,0.00176,-0.00176,0.00284,-0.00284,3.0%,-3.0%
21.5,0.02676,0.00151,-0.00151,0.00241,-0.00241,3.0%,-3.0%
24.5,0.02864,0.00183,-0.00183,0.0022,-0.0022,3.0%,-3.0%
28.0,0.02373,0.00159,-0.00159,0.00156,-0.00156,3.0%,-3.0%
32.5,0.02496,0.00076,-0.00076,0.0017,-0.0017,3.0%,-3.0%
37.5,0.02529,0.00087,-0.00087,0.00152,-0.00152,3.0%,-3.0%
43.0,0.02384,0.00067,-0.00067,0.00152,-0.00152,3.0%,-3.0%
49.5,0.02474,0.0007,-0.0007,0.00137,-0.00137,3.0%,-3.0%
57.0,0.02346,0.00069,-0.00069,0.00107,-0.00107,3.0%,-3.0%
65.5,0.02228,0.00074,-0.00074,0.00081,-0.00081,3.0%,-3.0%
75.0,0.02283,0.00083,-0.00083,0.00071,-0.00071,3.0%,-3.0%
86.0,0.02083,0.00092,-0.00092,0.00054,-0.00054,3.0%,-3.0%
99.0,0.02226,0.00103,-0.00103,0.0005,-0.0005,3.0%,-3.0%
115.5,0.02,0.00111,-0.00111,0.00042,-0.00042,3.0%,-3.0%
137.5,0.01974,0.00127,-0.00127,0.00035,-0.00035,3.0%,-3.0%
175.0,0.0182,0.00239,-0.00239,0.00035,-0.00035,3.0%,-3.0%
230.0,0.01614,0.00264,-0.00264,0.00024,-0.00024,3.0%,-3.0%

