#: table_doi: 10.17182/hepdata.32750.v1/t5
#: name: Table 5
#: description: No description provided.
#: data_file: Table5.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.008
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
0.16,0.9817,0.0547,-0.0547,0.0041,-0.0041
0.25,1.011,0.025,-0.025,0.003,-0.003
0.35,0.9993,0.0213,-0.0213,0.0028,-0.0028
0.45,1.02,0.018,-0.018,0.0035,-0.0035
0.64,0.9618,0.0091,-0.0091,0.0036,-0.0036
0.86,0.9775,0.0083,-0.0083,0.0051,-0.0051
1.12,0.9642,0.0088,-0.0088,0.0054,-0.0054
1.37,0.9714,0.01,-0.01,0.0045,-0.0045
1.75,0.9891,0.0083,-0.0083,0.002,-0.002
2.24,0.975,0.0086,-0.0086,0.0023,-0.0023
2.73,0.9837,0.0097,-0.0097,0.0042,-0.0042
3.46,0.9924,0.0122,-0.0122,0.0084,-0.0084

